date,coverage_pct,coverage_pct_poly,coverage_pct_water,chl_mean,chl_median,chl_p95,ndvi_mean,ndwi_mean,valid_px,water_px
2025-02-07,0.2055179487179487,0.2055179487179487,0.9998105998892112,-13185097728.0,4.74635648727417,1204.9320068359375,0.9040619730949402,9.587302207946777,981862,982048
2025-02-10,0.00026331763474620617,0.00026331763474620617,1.0,4.040735721588135,4.260046482086182,4.732763481140137,-0.13576960563659668,0.4363403916358948,1258,1258
2025-02-25,0.04946436420722135,0.04946436420722135,1.0,0.5287579298019409,3.9630181789398193,4.691945552825928,0.3089294731616974,0.5956248044967651,236316,236316
2025-02-27,0.26888100470957615,0.26888100470957615,0.9999478455543395,3.2247095108032227,3.596182346343994,4.517667293548584,-0.14300322532653809,0.4033142626285553,1284579,1284646
2025-03-02,0.028496912611198324,0.028496912611198324,1.0,-2103549440.0,3.1722090244293213,10.806772232055664,0.28975266218185425,0.7606074810028076,136144,136144
2025-03-04,0.1490306645735217,0.1490306645735217,0.9999887640765054,1.68482506275177,3.5580945014953613,4.5126471519470215,-0.047706518322229385,0.38371092081069946,711994,712002
2025-03-07,0.0031583464154892726,0.0031583464154892726,1.0,-20457177088.0,3.968676805496216,675.9003295898438,0.6603460311889648,1.1524704694747925,15089,15089
2025-03-09,0.2505396127681842,0.2505396127681842,1.0,3.153712272644043,3.571682929992676,4.435485363006592,-0.13363879919052124,0.4289332330226898,1196953,1196953
2025-03-12,0.004640083725798012,0.004640083725798012,1.0,3.7063186168670654,4.272305488586426,4.896785736083984,-0.004811688791960478,0.16649864614009857,22168,22168
2025-03-14,0.24434432234432235,0.24434432234432235,0.9999991433632928,2.4331915378570557,3.32185697555542,4.448634147644043,-0.1074962392449379,0.46230313181877136,1167355,1167356
2025-03-19,0.034807744636316064,0.034807744636316064,0.9999879732525135,3.396026372909546,3.7237708568573,4.597617197036743,-0.1119987890124321,0.30870336294174194,166294,166296
2025-03-22,0.00031292517006802724,0.00031292517006802724,0.9986639946559787,-145783898112.0,4.106767177581787,4779.98178710937,19.053434371948242,21.0676212310791,1495,1497
2025-03-24,0.24311397174254318,0.24311397174254318,1.0,2.6675198078155518,3.2797703742980957,4.604187488555908,-0.13159391283988953,0.462571918964386,1161477,1161477
2025-03-26,0.0007985347985347986,0.0007985347985347986,1.0,3.049130439758301,4.381931781768799,5.286235809326172,-0.02521154098212719,0.4753549098968506,3815,3815
